name,position,group,club,division,based_in,division_tier,tier_quality,date_of_birth,birth_month,birth_quarter,age_(days)_on_1_july_2015,age_(months)_on_1_july_2015,age_(years)_on_1_july_2015,birth_city,nation_of_birth,birth_region,nationality,second_nationality,height_(ft_in),height_(ft),height_(in),height_(cm),weight_(kg),goals,appearances,is_top_4_tier,train_or_test
Liam Roberts,GK,Goalkeeper,Walsall,English Football League 1,ENG,ENG3,4,30/10/1982,10,1,11932,392,20,Walsall,ENG,UK & Ireland,ENG,,,,,183,82,0,30,,
Luke O'Nien,M (C),Midfielder,Wycombe,English Football League 2,ENG,ENG4,5,28/09/1982,9,1,11964,393,20,Hemel Hempstead,ENG,UK & Ireland,ENG,,,,,177,74,4,37,,
Liam Marsden,D (R),Defender,Mansfield,English Football League 2,ENG,ENG4,5,21/09/1982,9,1,11971,393,20,NaN,ENG,UK & Ireland,ENG,,,,,178,73,0,12,,
Andrew Dawber,GK,Goalkeeper,Fulham,English Football League Championship,ENG,ENG2,3,24/06/1982,6,4,12060,396,20,Wigan,ENG,UK & Ireland,ENG,,,,,186,78,0,5,,
Jack Dunn,"AM (C), ST (C)",Forward,Liverpool,English Premier Division,ENG,ENG1,1,06/11/1981,11,1,12290,403,20,Liverpool,ENG,UK & Ireland,ENG,,,,,181,76,3,6,,
Dean Snedker,GK,Goalkeeper,Kidderminster,NaN,ENG,NONE,7,10/02/1981,2,2,12559,412,20,Northampton,ENG,UK & Ireland,ENG,,,,,181,74,0,33,,
Zac Fagan,D (C),Defender,Welling,NaN,ENG,NONE,7,28/11/1980,11,1,12633,415,20,London,ENG,UK & Ireland,ENG,,,,,191,83,1,33,,
Harry Cooksley,AM (RC),Forward,NaN,NaN,ENG,NONE,7,18/11/1980,11,1,12643,415,20,Guildford,ENG,UK & Ireland,ENG,,,,,186,72,0,1,,
Shepherd Murombedzi,M (RL),Midfielder,Torquay,NaN,ENG,NONE,7,19/03/1980,3,3,12887,423,20,Harare,ENG,Southern Africa,ENG,ZIM,,,,183,78,3,21,,
Jack Barmby,AM (RL),Forward,Leicester,English Premier Division,ENG,ENG1,1,15/10/1979,10,1,13043,428,20,Harlow,ENG,UK & Ireland,ENG,,,,,181,70,5,19,,
Myles Hippolyte,"M (RL), AM (RLC)",Midfielder,Livingston,Scottish Championship,SCO,SCO2,6,21/03/1978,3,3,13616,447,20,London,ENG,UK & Ireland,ENG,,,,,180,70,6,49,,
James Alabi,ST (C),Forward,Ipswich,English Football League Championship,ENG,ENG2,3,18/05/1977,5,3,13923,457,20,London,ENG,UK & Ireland,ENG,NGA,,,,185,80,1,15,,
Will De Havilland,D (C),Defender,Sheff Wed,English Football League Championship,ENG,ENG2,3,14/03/1975,3,3,14719,483,20,Huntingdon,ENG,UK & Ireland,ENG,,,,,186,70,1,14,,
Paul Mullin,ST (C),Forward,Morecambe,English Football League 2,ENG,ENG4,5,15/07/1973,7,4,15326,503,20,Liverpool,ENG,UK & Ireland,ENG,,,,,178,71,8,46,,
Tony Thompson,GK,Goalkeeper,Morecambe,English Football League 2,ENG,ENG4,5,04/11/1994,11,1,7544,247,20,Liverpool,ENG,UK & Ireland,ENG,,,,,185,81,0,29,,
Luke James,ST (C),Forward,Bradford City,English Football League 1,ENG,ENG3,4,04/11/1994,11,1,7544,247,20,Ashington,ENG,UK & Ireland,ENG,,,,,183,80,20,123,,
Remie Streete,D (C),Defender,Port Vale,English Football League 1,ENG,ENG3,4,02/11/1994,11,1,7546,247,20,South Shields,ENG,UK & Ireland,ENG,JAM,,,,188,83,0,3,,
Shaquile Coulthirst,ST (C),Forward,Tottenham,English Premier Division,ENG,ENG1,1,02/11/1994,11,1,7546,247,20,London,ENG,UK & Ireland,ENG,,,,,180,77,9,40,,
Nick Townsend,GK,Goalkeeper,Barnsley,English Football League 1,ENG,ENG3,4,01/11/1994,11,1,7547,248,20,Solihull,ENG,UK & Ireland,ENG,,,,,181,88,0,31,,
James Ward-Prowse,M/AM (RC),Midfielder,Southampton,English Premier Division,ENG,ENG1,1,01/11/1994,11,1,7547,248,20,Portsmouth,ENG,UK & Ireland,ENG,,,,,173,66,1,74,,
Louis Garner,ST (C),Forward,NaN,NaN,ENG,NONE,7,31/10/1994,10,1,7548,248,20,Manchester,ENG,UK & Ireland,ENG,,,,,189,83,0,3,,
Ben Clappison,D (C),Defender,Hull,English Football League Championship,ENG,ENG2,3,30/10/1994,10,1,7549,248,20,Hull,ENG,UK & Ireland,ENG,,,,,183,75,1,6,,
Jordan Turnbull,D (C),Defender,Swindon,English Football League 1,ENG,ENG3,4,23/10/1994,10,1,7556,248,20,Trowbridge,ENG,UK & Ireland,ENG,,,,,186,73,1,44,,
Matt Lecointe,"M/AM (C), ST (C)",Midfielder,NaN,NaN,ENG,NONE,7,14/10/1994,10,1,7565,248,20,Plymouth,ENG,UK & Ireland,ENG,,,,,178,77,2,25,,
Craig Tanner,AM (RLC),Forward,Plymouth,English Football League 2,ENG,ENG4,5,07/10/1994,10,1,7572,248,20,Aldershot,ENG,UK & Ireland,ENG,,,,,178,72,0,22,,
Jack Payne,M/AM (C),Midfielder,Southend,English Football League 1,ENG,ENG3,4,03/10/1994,10,1,7576,248,20,London,ENG,UK & Ireland,ENG,,,,,166,58,6,45,,
Jordan Jones,"M (C), AM (RC)",Midfielder,Middlesbrough,English Football League Championship,ENG,ENG2,3,02/10/1994,10,1,7577,248,20,Middlesbrough,ENG,UK & Ireland,ENG,NIR,,,,176,73,0,11,,
Scott Tanser,"D (LC), WB (L)",Defender,Rochdale,English Football League 1,ENG,ENG3,4,24/09/1994,9,1,7585,249,20,Blackpool,ENG,UK & Ireland,ENG,,,,,181,71,1,31,,
Tyrone Williams,D (C),Defender,Hednesford,NaN,ENG,NONE,7,10/09/1994,9,1,7599,249,20,NaN,ENG,UK & Ireland,ENG,,,,,187,72,0,11,,
Reece Flanagan,M (C),Midfielder,Walsall,English Football League 1,ENG,ENG3,4,06/09/1994,9,1,7603,249,20,Birmingham,ENG,UK & Ireland,ENG,,,,,180,75,2,24,,
Tom Richards,AM (L),Forward,Aldershot,NaN,ENG,NONE,7,06/09/1994,9,1,7603,249,20,Guildford,ENG,UK & Ireland,ENG,,,,,171,64,0,19,,
Stephen Arthurworrey,D (C),Defender,Yeovil,English Football League 2,ENG,ENG4,5,03/09/1994,9,1,7606,249,20,London,ENG,UK & Ireland,ENG,,,,,194,88,2,46,,
Wes Atkinson,D (R),Defender,Notts Co,English Football League 2,ENG,ENG4,5,01/09/1994,9,1,7608,250,20,West Bromwich,ENG,UK & Ireland,ENG,,,,,171,69,0,2,,
Conner Robinson,ST (C),Forward,Lincoln,NaN,ENG,NONE,7,10/08/1994,8,4,7630,250,20,Lincoln,ENG,UK & Ireland,ENG,,,,,176,68,11,67,,
Matthew Pennington,D (RC),Defender,Everton,English Premier Division,ENG,ENG1,1,22/07/1994,7,4,7649,251,20,Warrington,ENG,UK & Ireland,ENG,,,,,186,77,2,41,,
Jamie Wootton,ST (C),Forward,NaN,NaN,ENG,NONE,7,19/06/1994,6,4,7682,252,20,Rotherham,ENG,UK & Ireland,ENG,,,,,171,69,4,35,,
David Gregory,GK,Goalkeeper,Crystal Palace,English Premier Division,ENG,ENG1,1,15/06/1994,6,4,7686,252,20,NaN,ENG,UK & Ireland,ENG,,,,,188,78,0,14,,
Greg Leigh,D/WB (L),Defender,Bradford City,English Football League 1,ENG,ENG3,4,15/06/1994,6,4,7686,252,20,Sale,ENG,UK & Ireland,ENG,,,,,181,73,1,38,,
Joe Cracknell,GK,Goalkeeper,Bradford City,English Football League 1,ENG,ENG3,4,20/05/1994,5,3,7712,253,20,Hull,ENG,UK & Ireland,ENG,,,,,183,71,0,30,,
Jorge Grant,M (C),Midfielder,Nottm Forest,English Football League Championship,ENG,ENG2,3,27/04/1994,4,3,7735,254,20,Oxford,ENG,UK & Ireland,ENG,,,,,176,73,0,1,,
Ryan Croasdale,M (C),Midfielder,Sheff Wed,English Football League Championship,ENG,ENG2,3,04/04/1994,4,3,7758,254,20,Lancaster,ENG,UK & Ireland,ENG,,,,,175,69,1,14,,
Timothy Monsheju,"AM (R), ST (C)",Forward,NaN,NaN,CYP,NONE,7,25/03/1994,3,3,7768,255,20,Walthamstow,ENG,UK & Ireland,ENG,,,,,182,77,1,3,,
Nick Haughton,M/AM (C),Midfielder,Fleetwood,English Football League 1,ENG,ENG3,4,04/03/1994,3,3,7789,255,20,Manchester,ENG,UK & Ireland,ENG,,,,,163,70,4,41,,
Ed Wilczynski,GK,Goalkeeper,Huddersfield,English Football League Championship,ENG,ENG2,3,14/02/1994,2,2,7807,256,20,Huddersfield,ENG,UK & Ireland,ENG,POL,,,,188,81,0,21,,
Connor Dymond,D/M/AM (C),Defender,Crystal Palace,English Premier Division,ENG,ENG1,1,26/01/1994,1,2,7826,257,20,Dartford,ENG,UK & Ireland,ENG,,,,,171,69,1,6,,
Steven Logan,M (C),Midfielder,NaN,NaN,ENG,NONE,7,09/12/1993,12,2,7874,258,20,Carlisle,ENG,UK & Ireland,ENG,SCO,,,,188,81,1,24,,
Jack Marriott,ST (C),Forward,Luton,English Football League 2,ENG,ENG4,5,05/12/1993,12,2,7878,258,20,Beverley,ENG,UK & Ireland,ENG,,,,,173,71,17,50,,
Matt Macey,GK,Goalkeeper,Arsenal,English Premier Division,ENG,ENG1,1,24/11/1993,11,1,7889,259,20,NaN,ENG,UK & Ireland,ENG,,,,,194,87,0,4,,
Dominic Gape,M (C),Midfielder,Southampton,English Premier Division,ENG,ENG1,1,20/11/1993,11,1,7893,259,20,Weymouth,ENG,UK & Ireland,ENG,,,,,175,64,0,1,,
Stuart Moore,GK,Goalkeeper,Reading,English Football League Championship,ENG,ENG2,3,12/11/1993,11,1,7901,259,20,Newport (Isle of Wight),ENG,UK & Ireland,ENG,,,,,188,81,0,78,,
Joel Swift,ST (C),Forward,Altrincham,NaN,ENG,NONE,7,13/10/1993,10,1,7931,260,20,Manchester,ENG,UK & Ireland,ENG,,,,,178,74,0,1,,
Ross Etheridge,GK,Goalkeeper,Accrington,English Football League 2,ENG,ENG4,5,13/10/1993,10,1,7931,260,20,NaN,ENG,UK & Ireland,ENG,,,,,188,84,0,13,,
Ben Jefford,D (RL),Defender,Welling,NaN,ENG,NONE,7,06/10/1993,10,1,7938,260,20,Winchester,ENG,UK & Ireland,ENG,,,,,184,78,1,49,,
Jonny Sutherland,GK,Goalkeeper,NaN,NaN,ENG,NONE,7,22/09/1993,9,1,7952,261,20,Chester,ENG,UK & Ireland,ENG,WAL,,,,183,70,0,8,,
Oliver Muldoon,M (C),Midfielder,Charlton,English Football League Championship,ENG,ENG2,3,18/09/1993,9,1,7956,261,20,Hornchurch,ENG,UK & Ireland,ENG,,,,,176,77,0,3,,
Ellis Plummer,D (C),Defender,Man City,English Premier Division,ENG,ENG1,1,09/09/1993,9,1,7965,261,20,Manchester,ENG,UK & Ireland,ENG,,,,,178,74,0,9,,
Lewis Kinsella,D (L),Defender,Aston Villa,English Premier Division,ENG,ENG1,1,14/07/1993,7,4,8022,263,20,Watford,ENG,UK & Ireland,ENG,,,,,176,71,0,3,,
Dan Sullivan,"AM (C), ST (C)",Forward,NaN,NaN,ENG,NONE,7,24/03/1993,3,3,8134,267,20,Plymouth,ENG,UK & Ireland,ENG,,,,,173,65,0,3,,
Dan Butler,D/WB (L),Defender,Torquay,NaN,ENG,NONE,7,18/02/1993,2,2,8168,268,20,Cowes,ENG,UK & Ireland,ENG,,,,,175,72,0,69,,
Jordan Willis,D (C),Defender,Coventry,English Football League 1,ENG,ENG3,4,17/02/1993,2,2,8169,268,20,Coventry,ENG,UK & Ireland,ENG,,,,,181,70,0,66,,
Nicke Kabamba,ST (C),Forward,Hampton & Richmond,NaN,ENG,NONE,7,19/01/1993,1,2,8198,269,20,NaN,ENG,UK & Ireland,ENG,,,,,191,74,50,117,,
Elliott Johnson,D (L),Defender,Barnet,English Football League 2,ENG,ENG4,5,09/01/1993,1,2,8208,269,20,NaN,ENG,UK & Ireland,ENG,,,,,178,78,2,98,,
Josh Hare,DM,Midfielder,Gillingham,English Football League 1,ENG,ENG3,4,07/01/1993,1,2,8210,269,20,NaN,ENG,UK & Ireland,ENG,,,,,189,82,0,2,,
Max Clayton,"AM (RL), ST (C)",Forward,Bolton,English Football League Championship,ENG,ENG2,3,06/12/1992,12,2,8242,270,20,Crewe,ENG,UK & Ireland,ENG,,,,,175,70,10,83,,
Ben Osborn,M (LC),Midfielder,Nottm Forest,English Football League Championship,ENG,ENG2,3,22/11/1992,11,1,8256,271,20,Derby,ENG,UK & Ireland,ENG,,,,,176,75,3,45,,
Lee Angol,ST (C),Forward,Peterborough,English Football League 1,ENG,ENG3,4,26/10/1992,10,1,8283,272,20,Sutton,ENG,UK & Ireland,ENG,,,,,188,72,32,73,,
Courtney Meppen-Walter,"D (C), DM, M (C)",Defender,Carlisle,English Football League 2,ENG,ENG4,5,26/10/1992,10,1,8283,272,20,Bury,ENG,UK & Ireland,ENG,,,,,184,77,2,39,,
Solly March,"M (RL), AM (RLC)",Midfielder,Brighton,English Football League Championship,ENG,ENG2,3,25/10/1992,10,1,8284,272,20,Eastbourne,ENG,UK & Ireland,ENG,,,,,181,68,1,34,,
Jordan Chiedozie,ST (C),Forward,Cambridge,English Football League 2,ENG,ENG4,5,07/10/1992,10,1,8302,272,20,Owerri,ENG,Western Africa,ENG,NGA,,,,184,73,12,41,,
James Hamon,GK,Goalkeeper,Exeter,English Football League 2,ENG,ENG4,5,05/10/1992,10,1,8304,272,20,Guernsey,ENG,UK & Ireland,ENG,,,,,185,70,0,32,,
Jonson Clarke-Harris,ST (C),Forward,Rotherham,English Football League Championship,ENG,ENG2,3,19/09/1992,9,1,8320,273,20,Leicester,ENG,UK & Ireland,ENG,,,,,183,71,15,87,,
Pelly Ruddock,M (C),Midfielder,Luton,English Football League 2,ENG,ENG4,5,18/09/1992,9,1,8321,273,20,London,ENG,UK & Ireland,ENG,,,,,175,63,3,50,,
Ross Killock,D (C),Defender,Leeds,English Football League Championship,ENG,ENG2,3,09/09/1992,9,1,8330,273,20,Huddersfield,ENG,UK & Ireland,ENG,,,,,187,76,2,32,,
Nathan Evans,"AM (L), ST (C)",Forward,NaN,NaN,ENG,NONE,7,28/08/1992,8,4,8342,274,20,Middlesbrough,ENG,UK & Ireland,ENG,,,,,186,80,0,6,,
Mitch Rose,"D (R), M (RC)",Defender,Mansfield,English Football League 2,ENG,ENG4,5,15/07/1992,7,4,8386,275,20,Doncaster,ENG,UK & Ireland,ENG,,,,,176,78,0,12,,
Brad Potts,"M (C), AM (RLC)",Midfielder,Blackpool,English Football League 1,ENG,ENG3,4,13/04/1992,4,3,8479,278,20,Newcastle,ENG,UK & Ireland,ENG,,,,,188,81,9,103,,
Michael Chambers,D (C),Defender,Welling,NaN,ENG,NONE,7,09/03/1992,3,3,8514,279,21,NaN,ENG,UK & Ireland,ENG,,,,,196,84,0,16,,
Aristede Bassele,"AM (R), ST (C)",Forward,NaN,NaN,ENG,NONE,7,02/02/1992,2,2,8550,280,21,NaN,ENG,UK & Ireland,ENG,,,,,173,68,2,32,,
Zak Stephens,D (C),Defender,NaN,NaN,ENG,NONE,7,22/01/1992,1,2,8561,281,21,Romford,ENG,UK & Ireland,ENG,,,,,191,86,0,10,,
Josh Todd,AM (C),Forward,Annan,Scottish League 2,SCO,SCO4,6,03/01/1992,1,2,8580,281,21,Carlisle,ENG,UK & Ireland,ENG,,,,,183,78,18,65,,
David Ferguson,D (L),Defender,Blackpool,English Football League 1,ENG,ENG3,4,05/12/1991,12,2,8609,282,21,Sunderland,ENG,UK & Ireland,ENG,,,,,181,70,1,20,,
Kane Richards,"M (L), AM (R), ST (C)",Midfielder,Chester,NaN,ENG,NONE,7,31/10/1991,10,1,8644,284,21,Derby,ENG,UK & Ireland,ENG,JAM,,,,179,75,15,75,,
Kieron Morris,"M (L), AM (LC)",Midfielder,Walsall,English Football League 1,ENG,ENG3,4,25/10/1991,10,1,8650,284,21,Hereford,ENG,UK & Ireland,ENG,,,,,178,71,4,29,,
Taylor McKenzie,D (C),Defender,Notts Co,English Football League 2,ENG,ENG4,5,04/10/1991,10,1,8671,284,21,London,ENG,UK & Ireland,ENG,,,,,188,81,0,8,,
Daniel Carr,ST (C),Forward,Cambridge,English Football League 2,ENG,ENG4,5,07/09/1991,9,1,8698,285,21,London,ENG,UK & Ireland,ENG,,,,,181,81,18,39,,
John Stones,D (RC),Defender,Everton,English Premier Division,ENG,ENG1,1,29/08/1991,8,4,8707,286,21,Barnsley,ENG,UK & Ireland,ENG,,,,,189,76,1,68,,
Tyias Browning,"D (RC), WB (R)",Defender,Everton,English Premier Division,ENG,ENG1,1,19/06/1991,6,4,8778,288,21,Liverpool,ENG,UK & Ireland,ENG,CHN,,,,183,77,0,4,,
Blair Turgott,AM (RL),Forward,Leyton Orient,English Football League 2,ENG,ENG4,5,27/04/1991,4,3,8831,290,21,London,ENG,UK & Ireland,ENG,JAM,,,,178,65,2,17,,
Theo Bailey-Jones,AM (RL),Forward,Macclesfield,NaN,ENG,NONE,7,09/03/1991,3,3,8880,291,21,Macclesfield,ENG,UK & Ireland,ENG,,,,,176,70,0,34,,
Alban Bunjaku,"M (L), AM (LC)",Midfielder,Derby,English Football League Championship,ENG,ENG2,3,23/02/1991,2,2,8894,292,21,Romford,ENG,UK & Ireland,ENG,ALB,,,,183,78,1,10,,
Joe McDonnell,GK,Goalkeeper,AFC Wimbledon,English Football League 2,ENG,ENG4,5,25/01/1991,1,2,8923,293,21,Basingstoke,ENG,UK & Ireland,ENG,,,,,188,77,0,26,,
Greg Rutherford,ST (C),Forward,Arbroath,Scottish League 2,SCO,SCO4,6,16/12/1990,12,2,8963,294,21,North Shields,ENG,UK & Ireland,ENG,,,,,178,79,1,20,,
Wilson Kneeshaw,"AM (RL), ST (C)",Forward,Barnsley,English Football League 1,ENG,ENG3,4,08/12/1990,12,2,8971,294,21,Darlington,ENG,UK & Ireland,ENG,,,,,178,60,0,8,,
Tosin Olufemi,"D (R), WB/M (RL), AM (R)",Defender,Colchester,English Football League 1,ENG,ENG3,4,29/10/1990,10,1,9011,296,21,NaN,ENG,UK & Ireland,ENG,NGA,,,,176,64,0,14,,
Jake Kirby,AM (L),Forward,Tranmere,NaN,ENG,NONE,7,29/09/1990,9,1,9041,297,21,Liverpool,ENG,UK & Ireland,ENG,,,,,181,78,3,54,,
Tyrell Belford,GK,Goalkeeper,Swindon,English Football League 1,ENG,ENG3,4,04/09/1990,9,1,9066,297,21,Nuneaton,ENG,UK & Ireland,ENG,,,,,189,82,0,6,,
Amari'i Bell,D/WB (L),Defender,Fleetwood,English Football League 1,ENG,ENG3,4,24/07/1990,7,4,9108,299,21,BurtonNaNonNaNTrent,ENG,UK & Ireland,ENG,,,,,179,66,2,47,,
Zak Ansah,"AM (LC), ST (C)",Forward,Charlton,English Football League Championship,ENG,ENG2,3,20/06/1990,6,4,9142,300,21,Sidcup,ENG,UK & Ireland,ENG,GHA,,,,181,79,1,8,,
Ryan Higgins,D/WB (R),Defender,Chester,NaN,ENG,NONE,7,10/02/1990,2,2,9272,304,21,Liverpool,ENG,UK & Ireland,ENG,,,,,182,77,1,56,,
Nathan Thomas,"M (L), AM (RLC)",Midfielder,Mansfield,English Football League 2,ENG,ENG4,5,21/01/1990,1,2,9292,305,21,NaN,ENG,UK & Ireland,ENG,,,,,176,79,1,27,,
Jake Forster-Caskey,M (C),Midfielder,Brighton,English Football League Championship,ENG,ENG2,3,12/09/1989,9,1,9423,309,21,SouthendNaNonNaNSea,ENG,UK & Ireland,ENG,,,,,176,71,8,81,,
Ben Garratt,GK,Goalkeeper,Crewe,English Football League 1,ENG,ENG3,4,10/09/1989,9,1,9425,309,21,Market Drayton,ENG,UK & Ireland,ENG,,,,,185,66,0,65,,
Adam Morgan,ST (C),Forward,Accrington,English Football League 2,ENG,ENG4,5,29/06/1989,6,4,9498,312,21,Liverpool,ENG,UK & Ireland,ENG,,,,,178,71,1,25,,
James Montgomery,GK,Goalkeeper,AFC Telford,NaN,ENG,NONE,7,17/03/1989,3,3,9602,315,21,Sunderland,ENG,UK & Ireland,ENG,,,,,188,81,0,7,,
Jake Hessenthaler,M (C),Midfielder,Gillingham,English Football League 1,ENG,ENG3,4,14/02/1989,2,2,9633,316,21,Gravesend,ENG,UK & Ireland,ENG,,,,,176,64,2,68,,
Dan Potts,D (L),Defender,Luton,English Football League 2,ENG,ENG4,5,07/01/1989,1,2,9671,317,21,Barking,ENG,UK & Ireland,ENG,USA,,,,173,69,0,16,,
Dominic Samuel,ST (C),Forward,Reading,English Football League Championship,ENG,ENG2,3,28/11/1988,11,1,9711,319,21,NaN,ENG,UK & Ireland,ENG,ANG,,,,183,89,6,17,,
Liam Wakefield,D (RLC),Defender,Accrington,English Football League 2,ENG,ENG4,5,24/10/1988,10,1,9746,320,21,Doncaster,ENG,UK & Ireland,ENG,,,,,188,70,0,13,,
Reice Charles-Cook,GK,Goalkeeper,Coventry,English Football League 1,ENG,ENG3,4,12/10/1988,10,1,9758,320,21,London,ENG,UK & Ireland,ENG,JAM,,,,186,80,0,19,,
Darnell Fisher,D/WB/M (R),Defender,St. Johnstone,Scottish Premiership,SCO,SCO1,3,10/10/1988,10,1,9760,320,21,Reading,ENG,UK & Ireland,ENG,,,,,177,74,0,17,,
Tyler Blackett,D (LC),Defender,Celtic,Scottish Premiership,SCO,SCO1,3,04/10/1988,10,1,9766,320,21,Manchester,ENG,UK & Ireland,ENG,JAM,,,,191,83,0,24,,
Jack O'Connell,D (C),Defender,Brentford,English Football League Championship,ENG,ENG2,3,23/08/1988,8,4,9808,322,21,Liverpool,ENG,UK & Ireland,ENG,,,,,191,85,5,87,,
Malachi Lavelle-Moore,ST (C),Forward,NaN,NaN,ENG,NONE,7,18/07/1988,7,4,9844,323,21,NaN,ENG,UK & Ireland,ENG,,,,,188,77,0,10,,
Nick Powell,M/AM (C),Midfielder,Man Utd,English Premier Division,ENG,ENG1,1,01/06/1988,6,4,9891,325,21,Crewe,ENG,UK & Ireland,ENG,,,,,183,66,22,85,,
Hallam Hope,"AM (R), ST (C)",Forward,Bury,English Football League 1,ENG,ENG3,4,25/01/1988,1,2,10019,329,21,Stockport,ENG,UK & Ireland,ENG,TRI,,,,179,70,6,34,,
Iffy Allen,M/AM (RL),Midfielder,Yeovil,English Football League 2,ENG,ENG4,5,22/11/1987,11,1,10083,331,21,London,ENG,UK & Ireland,ENG,,,,,176,69,1,23,,
Cole Stockton,ST (C),Forward,Tranmere,NaN,ENG,NONE,7,27/10/1987,10,1,10109,332,21,Huyton,ENG,UK & Ireland,ENG,,,,,186,75,9,79,,
Jake Green,D (L),Defender,Kidderminster,NaN,ENG,NONE,7,25/10/1987,10,1,10111,332,21,Keynsham,ENG,UK & Ireland,ENG,,,,,174,69,1,48,,
Duncan Watmore,"AM (R), ST (C)",Forward,Sunderland,English Premier Division,ENG,ENG1,1,04/10/1987,10,1,10132,332,21,Manchester,ENG,UK & Ireland,ENG,,,,,172,67,16,58,,
Jordan Pickford,GK,Goalkeeper,Preston,English Football League Championship,ENG,ENG2,3,05/08/1987,8,4,10192,334,21,Sunderland,ENG,UK & Ireland,ENG,,,,,187,77,0,92,,
Jordan Cousins,"DM, M (C)",Midfielder,Charlton,English Football League Championship,ENG,ENG2,3,12/05/1987,5,3,10277,337,21,London,ENG,UK & Ireland,ENG,,,,,186,82,5,86,,
Nathan Redmond,"M (RL), AM (RLC)",Midfielder,Norwich,English Premier Division,ENG,ENG1,1,26/04/1987,4,3,10293,338,21,Birmingham,ENG,UK & Ireland,ENG,IRL,,,,173,75,12,139,,
Callum Harriott,M/AM (L),Midfielder,Colchester,English Football League 1,ENG,ENG3,4,19/03/1987,3,3,10331,339,21,London,ENG,UK & Ireland,ENG,,,,,168,73,7,45,,
Harry Osborne,D (C),Defender,Welling,NaN,ENG,NONE,7,02/01/1987,1,2,10407,341,21,London,ENG,UK & Ireland,ENG,,,,,183,78,1,8,,
Jerome Jibodu,D (L),Defender,NaN,NaN,ENG,NONE,7,23/11/1986,11,1,10447,343,21,Bedford,ENG,UK & Ireland,ENG,,,,,178,73,0,5,,
Kayden Jackson,ST (C),Forward,Wrexham,NaN,ENG,NONE,7,05/10/1986,10,1,10496,344,21,Bradford,ENG,UK & Ireland,ENG,,,,,169,66,7,31,,
Adeoye Yusuff,ST (C),Forward,Dag & Red,English Football League 2,ENG,ENG4,5,01/10/1986,10,1,10500,345,21,NaN,ENG,UK & Ireland,ENG,,,,,178,64,29,75,,
John Lundstram,"DM, M (C)",Midfielder,Oxford,English Football League 2,ENG,ENG4,5,02/07/1986,7,4,10591,347,21,Liverpool,ENG,UK & Ireland,ENG,,,,,181,64,2,63,,
Alex Henshall,M/AM (L),Midfielder,Ipswich,English Football League Championship,ENG,ENG2,3,15/04/1986,4,3,10669,350,21,Swindon,ENG,UK & Ireland,ENG,,,,,177,65,1,15,,
Oscar Threlkeld,"D (RC), DM, M (C)",Defender,Plymouth,English Football League 2,ENG,ENG4,5,17/12/1985,12,2,10788,354,21,Bolton,ENG,UK & Ireland,ENG,,,,,185,75,0,6,,
Jordan Sinnott,M (C),Midfielder,Altrincham,NaN,ENG,NONE,7,17/10/1985,10,1,10849,356,21,Bradford,ENG,UK & Ireland,ENG,,,,,180,76,2,32,,
Anton Forrester,ST (C),Forward,Blackburn,English Football League Championship,ENG,ENG2,3,23/01/1985,1,2,11116,365,21,Liverpool,ENG,UK & Ireland,ENG,,,,,185,77,7,28,,
Ryan Lloyd,AM (L),Forward,Port Vale,English Football League 1,ENG,ENG3,4,13/07/1984,7,4,11310,371,21,NewcastleNaNunderNaNLyme,ENG,UK & Ireland,ENG,,,,,178,65,0,12,,
Jack Powell,M (C),Midfielder,Millwall,English Football League 1,ENG,ENG3,4,13/05/1984,5,3,11371,373,21,NaN,ENG,UK & Ireland,ENG,,,,,186,75,0,5,,
David Symington,D/WB/M/AM (R),Defender,Barrow,NaN,ENG,NONE,7,22/04/1984,4,3,11392,374,21,Workington,ENG,UK & Ireland,ENG,,,,,173,70,3,75,,
Jack Stephens,D (C),Defender,Middlesbrough,English Football League Championship,ENG,ENG2,3,07/02/1984,2,2,11467,376,21,Plymouth,ENG,UK & Ireland,ENG,,,,,186,84,1,52,,
Mitch Harding,M (C),Midfielder,NaN,NaN,ENG,NONE,7,29/01/1984,1,2,11476,377,21,WestonNaNsuperNaNMare,ENG,UK & Ireland,ENG,,,,,172,73,1,23,,
Matthew Young,D (RC),Defender,NaN,NaN,ENG,NONE,7,31/10/1983,10,1,11566,380,21,Romford,ENG,UK & Ireland,ENG,IRL,,,,180,71,0,22,,
Sean Raggett,D (C),Defender,Dover,NaN,ENG,NONE,7,02/09/1983,9,1,11625,381,21,Gillingham,ENG,UK & Ireland,ENG,,,,,199,89,7,76,,
Jordan Moore-Taylor,D (LC),Defender,Exeter,English Football League 2,ENG,ENG4,5,23/03/1983,3,3,11788,387,21,Exeter,ENG,UK & Ireland,ENG,,,,,178,83,3,61,,
Matt Crooks,"D (C), DM, M (C), ST (C)",Defender,Accrington,English Football League 2,ENG,ENG4,5,23/03/1983,3,3,11788,387,21,Leeds,ENG,UK & Ireland,ENG,,,,,191,72,4,35,,
Alfie Mawson,D (C),Defender,Barnsley,English Football League 1,ENG,ENG3,4,23/01/1983,1,2,11847,389,21,Hillingdon,ENG,UK & Ireland,ENG,,,,,188,81,7,64,,
Tim Chow,M (C),Midfielder,Wigan,English Football League 1,ENG,ENG3,4,16/01/1983,1,2,11854,389,21,Wigan,ENG,UK & Ireland,ENG,TPE,,,,180,73,1,4,,
