name,position,club,division,based_in,division_tier,tier_quality,date_of_birth,age_(days)_on_1_july_2023,age_(months)_on_1_july_2023,age_(years)_on_1_july_2023,birth_city,birth_postcode,nation_of_birth,birth_region,nationality,2nd_nationality,height_(ft_in),height_(ft),height_(in),height_(cm),weight_(kg),goals,appearances,is_top_4
Jake Richards,M (C),Exeter,English Football League 1,ENG,ENG3,4,08/08/2007,5806,190,15,Exeter,,ENG,UK & Ireland,ENG,,"5'6""",5,6,167.64,53,0,0,YES
Ollie Harrison,M (C),Chelsea,English Premier Division,ENG,ENG1,1,07/08/2007,5807,190,15,-,,ENG,UK & Ireland,ENG,,"6'2""",6,2,187.96,71,0,0,YES
Laolu Omobolaji,AM (L),Crystal Palace,English Premier Division,ENG,ENG1,1,06/08/2007,5808,190,15,-,,ENG,UK & Ireland,ENG,NGA,"5'9""",5,9,175.26,57,0,0,YES
Rob Saunders,AM (L),,-,ENG,NONE,7,06/08/2007,5808,190,15,Chichester,,ENG,UK & Ireland,ENG,NIR,"5'7""",5,7,170.18,54,0,0,NO
Kingston Simbai,D (R),Norwich,English Football League Championship,ENG,ENG2,3,05/08/2007,5809,190,15,Ipswich,,ENG,UK & Ireland,ENG,ZIM,"5'8""",5,8,172.72,60,0,0,YES
Jordan Kirk,D (R),,-,ENG,NONE,7,05/08/2007,5809,190,15,Warrington,,ENG,UK & Ireland,ENG,SCO,"5'7""",5,7,170.18,55,0,0,NO
Femi Fapetu,DM,Man City,English Premier Division,ENG,ENG1,1,04/08/2007,5810,190,15,Stoke-on-Trent,,ENG,UK & Ireland,ENG,NGA,"5'11""",5,11,180.34,65,0,0,YES
Neil Storey,AM (L),,-,ENG,NONE,7,04/08/2007,5810,190,15,Stevenage,,ENG,UK & Ireland,ENG,,"5'9""",5,9,175.26,58,0,0,NO
Lawson Willets,ST (C),,-,ENG,NONE,7,02/08/2007,5812,190,15,Kenilworth,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,62,0,0,NO
Craig Lee,M (L),,-,ENG,NONE,7,30/07/2007,5815,191,15,Cheltenham,,ENG,UK & Ireland,ENG,,"5'9""",5,9,175.26,60,0,0,NO
Adam Richardson,D (R),,-,ENG,NONE,7,28/07/2007,5817,191,15,Wellingborough,,ENG,UK & Ireland,ENG,,"5'9""",5,9,175.26,61,0,0,NO
Moses Alexandra-Walker,ST (C),Newport Co,English Football League 2,ENG,ENG4,5,27/07/2007,5818,191,15,Bristol,,ENG,UK & Ireland,ENG,JAM,"5'9""",5,9,175.26,58,0,0,NO
Stuart Kirby,DM,,-,ENG,NONE,7,25/07/2007,5820,191,15,Lincoln,,ENG,UK & Ireland,ENG,,"5'8""",5,8,172.72,61,0,0,NO
Zac Denman,ST (C),Notts Co,English Football League 2,ENG,ENG4,5,25/07/2007,5820,191,15,-,,ENG,UK & Ireland,ENG,,"5'8""",5,8,172.72,55,0,0,NO
Dean MacPherson,D (L),,-,ENG,NONE,7,24/07/2007,5821,191,15,Blackpool,,ENG,UK & Ireland,ENG,IRL,"5'5""",5,5,165.1,53,0,0,NO
George Young,D (R),,-,ENG,NONE,7,20/07/2007,5825,191,15,Bristol,,ENG,UK & Ireland,ENG,NIR,"5'7""",5,7,170.18,56,0,0,NO
Caine Kington,ST (C),,-,ENG,NONE,7,19/07/2007,5826,191,15,Taunton,,ENG,UK & Ireland,ENG,,"5'9""",5,9,175.26,58,0,0,NO
Kai Martin,AM (RLC),Colchester,English Football League 2,ENG,ENG4,5,17/07/2007,5828,191,15,-,,ENG,UK & Ireland,ENG,,"5'6""",5,6,167.64,52,0,0,NO
Themba Nyirenda,D (C),Notts Co,English Football League 2,ENG,ENG4,5,16/07/2007,5829,191,15,-,,ENG,UK & Ireland,ENG,MWI,"5'7""",5,7,170.18,50,0,0,NO
Luke Craggs,D (C),Newcastle,English Premier Division,ENG,ENG1,1,14/07/2007,5831,191,15,Gateshead,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,62,0,0,YES
Miles Bracking,"DM, M (C)",Norwich,English Football League Championship,ENG,ENG2,3,14/07/2007,5831,191,15,Manchester,,ENG,UK & Ireland,ENG,ZIM,"5'6""",5,6,167.64,56,0,0,YES
Ken Cooper,D (C),,-,ENG,NONE,7,14/07/2007,5831,191,15,Sutton-in-Ashfield,,ENG,UK & Ireland,ENG,,"6'3""",6,3,190.5,73,0,0,NO
Theo Mawéné,"D (C), WB (RL)",Preston,English Football League Championship,ENG,ENG2,3,12/07/2007,5833,191,15,-,,ENG,UK & Ireland,ENG,FRA,"5'10""",5,10,177.8,64,0,0,YES
Charlie Dunkin,D (L),,-,ENG,NONE,7,10/07/2007,5835,191,15,Wimbledon,,ENG,UK & Ireland,ENG,,"5'9""",5,9,175.26,59,0,0,NO
Corey Edwards,AM (C),Rochdale,English National League,ENG,ENG5,6,09/07/2007,5836,191,15,-,,ENG,UK & Ireland,ENG,,"5'11""",5,11,180.34,63,0,0,NO
Ayrton Caig,M (L),,-,ENG,NONE,7,09/07/2007,5836,191,15,Preston,,ENG,UK & Ireland,ENG,,"5'8""",5,8,172.72,58,0,0,NO
Kaleb Dyke,AM (R),Leicester,English Football League Championship,ENG,ENG2,3,06/07/2007,5839,191,15,Leicester,,ENG,UK & Ireland,ENG,,"5'4""",5,4,162.56,50,0,0,YES
Steve Flanagan,D (L),,-,ENG,NONE,7,04/07/2007,5841,191,16,Rowley Regis,,ENG,UK & Ireland,ENG,,"5'3""",5,3,160.02,50,0,0,NO
Cyril D'Souza,AM (R),,-,ENG,NONE,7,02/07/2007,5843,191,16,Hyde,,ENG,UK & Ireland,ENG,,"5'6""",5,6,167.64,55,0,0,NO
Jack Newall,AM (C),Burton,English Football League 1,ENG,ENG3,4,02/07/2007,5843,191,16,-,,ENG,UK & Ireland,ENG,,"5'9""",5,9,175.26,61,0,0,YES
Oscar Harris,ST (C),Wigan,English Football League 1,ENG,ENG3,4,01/07/2007,5844,192,16,-,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,68,0,0,YES
Zain Tahir,"D (RLC), WB (L)",Sheff Utd,English Premier Division,ENG,ENG1,1,01/07/2007,5844,192,16,-,,ENG,UK & Ireland,ENG,,"5'9""",5,9,175.26,66,0,0,YES
Jack James,ST (C),Coventry,English Football League Championship,ENG,ENG2,3,01/07/2007,5844,192,16,-,,ENG,UK & Ireland,ENG,,"5'7""",5,7,170.18,55,0,0,YES
Brooklyn Nfonkeu,AM (L),Man City,English Premier Division,ENG,ENG1,1,01/07/2007,5844,192,16,Leeds,,ENG,UK & Ireland,ENG,,"5'9""",5,9,175.26,58,0,0,YES
Trey Nyoni,M/AM (C),Liverpool,English Premier Division,ENG,ENG1,1,30/06/2007,5845,192,16,-,,ENG,UK & Ireland,ENG,ZIM,"5'2""",5,2,157.48,50,0,0,YES
Jesse Derry,AM (L),Crystal Palace,English Premier Division,ENG,ENG1,1,30/06/2007,5845,192,16,-,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,60,0,0,YES
Kiyan Coke-Miles-Smith,AM (L),Reading,English Football League 1,ENG,ENG3,4,29/06/2007,5846,192,16,-,,ENG,UK & Ireland,ENG,,"5'8""",5,8,172.72,59,0,0,YES
Kelvin Walkinshaw,D (R),,-,ENG,NONE,7,29/06/2007,5846,192,16,Halesowen,,ENG,UK & Ireland,ENG,,"6'2""",6,2,187.96,72,0,0,NO
Ibrahim Bangurah,D (C),Oxford United,English Football League 1,ENG,ENG3,4,28/06/2007,5847,192,16,-,,ENG,UK & Ireland,ENG,,"6'0""",6,0,182.88,68,0,0,YES
Ralph Hickey,ST (C),,-,ENG,NONE,7,28/06/2007,5847,192,16,Runcorn,,ENG,UK & Ireland,ENG,,"5'8""",5,8,172.72,58,0,0,NO
Alezandro Da Silva,M (C),Birmingham,English Football League Championship,ENG,ENG2,3,28/06/2007,5847,192,16,-,,ENG,UK & Ireland,ENG,,"6'1""",6,1,185.42,67,0,0,YES
Lee Williams,ST (C),Stockport,English Football League 2,ENG,ENG4,5,27/06/2007,5848,192,16,-,,ENG,UK & Ireland,ENG,,"5'7""",5,7,170.18,55,0,0,NO
Rio Alston,"M (RC), AM (R)",Accrington,English Football League 2,ENG,ENG4,5,27/06/2007,5848,192,16,-,,ENG,UK & Ireland,ENG,,"5'8""",5,8,172.72,59,0,0,NO
Voldi Mbaya,M (C),Sheffield Wednesday,English Football League Championship,ENG,ENG2,3,27/06/2007,5848,192,16,-,,ENG,UK & Ireland,ENG,,"5'9""",5,9,175.26,63,0,0,YES
Dan Carter,M (C),Leyton Orient,English Football League 1,ENG,ENG3,4,26/06/2007,5849,192,16,-,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,64,0,0,YES
Logan Dobbs,D (C),Gillingham,English Football League 2,ENG,ENG4,5,25/06/2007,5850,192,16,-,,ENG,UK & Ireland,ENG,,"6'3""",6,3,190.5,74,0,0,NO
Spike Brits,GK,Man City,English Premier Division,ENG,ENG1,1,24/06/2007,5851,192,16,-,,ENG,UK & Ireland,ENG,RSA,"6'3""",6,3,190.5,64,0,0,YES
Emile Oliver,D (L),Bolton,English Football League 1,ENG,ENG3,4,24/06/2007,5851,192,16,Liverpool,,ENG,UK & Ireland,ENG,,"5'6""",5,6,167.64,58,0,0,YES
Harry Clout,M (C),Portsmouth,English Football League 1,ENG,ENG3,4,22/06/2007,5853,192,16,-,,ENG,UK & Ireland,ENG,,"6'0""",6,0,182.88,68,0,0,YES
Adam McCoy,M/AM (RC),Burnley,English Premier Division,ENG,ENG1,1,22/06/2007,5853,192,16,-,,ENG,UK & Ireland,ENG,,"5'7""",5,7,170.18,52,0,0,YES
Amin Nabizada,AM (RL),Watford,English Football League Championship,ENG,ENG2,3,21/06/2007,5854,192,16,-,,ENG,UK & Ireland,ENG,,"6'1""",6,1,185.42,66,0,0,YES
Keon Lewis-Burgess,"DM, M (C)",MK Dons,English Football League 2,ENG,ENG4,5,21/06/2007,5854,192,16,-,,ENG,UK & Ireland,ENG,,"5'8""",5,8,172.72,61,0,0,NO
Theo Carroll,"AM (C), ST (C)",Preston,English Football League Championship,ENG,ENG2,3,21/06/2007,5854,192,16,-,,ENG,UK & Ireland,ENG,,"6'1""",6,1,185.42,70,0,0,YES
Daniel Matthews,M (C),Burton,English Football League 1,ENG,ENG3,4,21/06/2007,5854,192,16,-,,ENG,UK & Ireland,ENG,,"5'3""",5,3,160.02,52,0,0,YES
Ethan Brown,D (C),Charlton,English Football League 1,ENG,ENG3,4,21/06/2007,5854,192,16,-,,ENG,UK & Ireland,ENG,NIR,"6'3""",6,3,190.5,76,0,0,YES
Max Swift,D (C),Barnsley,English Football League 1,ENG,ENG3,4,19/06/2007,5856,192,16,-,,ENG,UK & Ireland,ENG,,"6'0""",6,0,182.88,68,0,0,YES
Callum Cooney,M/AM (R),Morecambe,English Football League 2,ENG,ENG4,5,19/06/2007,5856,192,16,Wigan,,ENG,UK & Ireland,ENG,,"6'0""",6,0,182.88,68,0,0,NO
Conrad Hunt,D/WB (R),Watford,English Football League Championship,ENG,ENG2,3,19/06/2007,5856,192,16,Guildford,,ENG,UK & Ireland,ENG,,"5'8""",5,8,172.72,59,0,0,YES
Chris Rigg,M (C),Sunderland,English Football League Championship,ENG,ENG2,3,18/06/2007,5857,192,16,Hebburn,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,57,0,0,YES
Alex Regis,ST (C),,-,ENG,NONE,7,18/06/2007,5857,192,16,Crosby,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,69,0,0,NO
Sam Wadham,AM (L),,-,ENG,NONE,7,17/06/2007,5858,192,16,Gloucester,,ENG,UK & Ireland,ENG,NIR,"5'7""",5,7,170.18,58,0,0,NO
Max Smith,ST (C),Watford,English Football League Championship,ENG,ENG2,3,16/06/2007,5859,192,16,-,,ENG,UK & Ireland,ENG,,"5'7""",5,7,170.18,54,0,0,YES
Luke Enright,ST (C),Stoke,English Football League Championship,ENG,ENG2,3,15/06/2007,5860,192,16,-,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,65,0,0,YES
Joshua Nyakudya,M/AM (RL),Wolves,English Premier Division,ENG,ENG1,1,14/06/2007,5861,192,16,Birmingham,,ENG,UK & Ireland,ENG,ZIM,"6'0""",6,0,182.88,66,0,0,YES
Will Burrell,D (C),Birmingham,English Football League Championship,ENG,ENG2,3,13/06/2007,5862,192,16,-,,ENG,UK & Ireland,ENG,,"6'0""",6,0,182.88,62,0,0,YES
Jorge Jevons,D (C),,-,ENG,NONE,7,13/06/2007,5862,192,16,Birkenhead,,ENG,UK & Ireland,ENG,,"6'1""",6,1,185.42,74,0,0,NO
Jacob Devaney,"DM, M (C)",Man UFC,English Premier Division,ENG,ENG1,1,11/06/2007,5864,192,16,Barnsley,,ENG,UK & Ireland,ENG,IRL,"5'9""",5,9,175.26,64,0,0,YES
Nehemiah Oriola,AM (C),Brighton,English Premier Division,ENG,ENG1,1,11/06/2007,5864,192,16,-,,ENG,UK & Ireland,ENG,NGA,"6'0""",6,0,182.88,67,0,0,YES
Philip Duah,D (C),Reading,English Football League 1,ENG,ENG3,4,10/06/2007,5865,192,16,-,,ENG,UK & Ireland,ENG,,"5'7""",5,7,170.18,59,0,0,YES
Oliver Pimlott,AM (C),Burnley,English Premier Division,ENG,ENG1,1,10/06/2007,5865,192,16,-,,ENG,UK & Ireland,ENG,,"5'8""",5,8,172.72,56,0,0,YES
Kelly Fombad,D (C),Lincoln,English Football League 1,ENG,ENG3,4,10/06/2007,5865,192,16,-,,ENG,UK & Ireland,ENG,,"6'0""",6,0,182.88,71,0,0,YES
Kwame Hesketh,M/AM (L),,-,ENG,NONE,7,10/06/2007,5865,192,16,Bolton,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,66,0,0,NO
Dan Parker,D (L),Sunderland,English Football League Championship,ENG,ENG2,3,09/06/2007,5866,192,16,-,,ENG,UK & Ireland,ENG,,"5'11""",5,11,180.34,65,0,0,YES
Ibby Olateju,ST (C),Cheltenham,English Football League 1,ENG,ENG3,4,09/06/2007,5866,192,16,-,,ENG,UK & Ireland,ENG,,"5'7""",5,7,170.18,59,0,0,YES
George Vorster,AM (C),Sutton,English Football League 2,ENG,ENG4,5,08/06/2007,5867,192,16,-,,ENG,UK & Ireland,ENG,,"6'3""",6,3,190.5,72,0,0,NO
Rhys Watson,ST (C),Stockport,English Football League 2,ENG,ENG4,5,08/06/2007,5867,192,16,Manchester,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,66,0,0,NO
Conor Lewis,AM (C),Bolton,English Football League 1,ENG,ENG3,4,07/06/2007,5868,192,16,Bolton,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,62,0,0,YES
Max Murray,D/WB (R),Bradford City,English Football League 2,ENG,ENG4,5,06/06/2007,5869,192,16,-,,ENG,UK & Ireland,ENG,,"6'2""",6,2,187.96,70,0,0,NO
Sydney Agina,D (C),Stoke,English Football League Championship,ENG,ENG2,3,05/06/2007,5870,192,16,-,,ENG,UK & Ireland,ENG,,"6'0""",6,0,182.88,72,0,0,YES
Oscar Varney,GK,Fulham,English Premier Division,ENG,ENG1,1,03/06/2007,5872,192,16,-,,ENG,UK & Ireland,ENG,,"6'5""",6,5,195.58,79,0,0,YES
Albie O'Keefe,M (C),Stevenage,English Football League 1,ENG,ENG3,4,02/06/2007,5873,192,16,Stevenage,,ENG,UK & Ireland,ENG,,"5'11""",5,11,180.34,64,0,0,YES
Luke Staight,"DM, M (C)",Portsmouth,English Football League 1,ENG,ENG3,4,02/06/2007,5873,192,16,-,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,66,0,0,YES
Jake Doherty,D (L),Fleetwood,English Football League 1,ENG,ENG3,4,01/06/2007,5874,193,16,-,,ENG,UK & Ireland,ENG,,"5'4""",5,4,162.56,50,0,0,YES
Toby Chilvers,M (C),Norwich,English Football League Championship,ENG,ENG2,3,01/06/2007,5874,193,16,King's Lynn,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,67,0,0,YES
Terry Bondo,ST (C),Blackpool,English Football League 1,ENG,ENG3,4,01/06/2007,5874,193,16,-,,ENG,UK & Ireland,ENG,,"5'7""",5,7,170.18,58,0,0,YES
Rees Hesketh,AM (LC),,-,ENG,NONE,7,01/06/2007,5874,193,16,Birkenhead,,ENG,UK & Ireland,ENG,,"5'9""",5,9,175.26,62,0,0,NO
Harry Guess,"DM, M/AM (C)",Northampton,English Football League 1,ENG,ENG3,4,01/06/2007,5874,193,16,Milton Keynes,,ENG,UK & Ireland,ENG,,"5'7""",5,7,170.18,59,0,0,YES
George Alston,"DM, M (C)",Swindon,English Football League 2,ENG,ENG4,5,01/06/2007,5874,193,16,-,,ENG,UK & Ireland,ENG,,"5'11""",5,11,180.34,61,0,0,NO
Cai Hockey,GK,Luton,English Premier Division,ENG,ENG1,1,31/05/2007,5875,193,16,London,,ENG,UK & Ireland,ENG,,"6'0""",6,0,182.88,69,0,0,YES
Kesi Ujah,AM (R),,-,ENG,NONE,7,30/05/2007,5876,193,16,Halifax,,ENG,UK & Ireland,ENG,,"5'11""",5,11,180.34,64,0,0,NO
David Modupe,D (C),Nottm Forest,English Premier Division,ENG,ENG1,1,30/05/2007,5876,193,16,-,,ENG,UK & Ireland,ENG,,"6'1""",6,1,185.42,71,0,0,YES
Jamie Tomlinson,D (R),Doncaster,English Football League 2,ENG,ENG4,5,30/05/2007,5876,193,16,-,,ENG,UK & Ireland,ENG,,"6'0""",6,0,182.88,70,0,0,NO
Tate Xavier-Jones,ST (C),Luton,English Premier Division,ENG,ENG1,1,29/05/2007,5877,193,16,-,,ENG,UK & Ireland,ENG,,"6'0""",6,0,182.88,66,0,0,YES
Ashqar Ahmed,D (R),Reading,English Football League 1,ENG,ENG3,4,29/05/2007,5877,193,16,-,,ENG,UK & Ireland,ENG,,"5'8""",5,8,172.72,62,0,0,YES
Fraser Heard,D (C),Ipswich,English Football League Championship,ENG,ENG2,3,28/05/2007,5878,193,16,Chelmsford,,ENG,UK & Ireland,ENG,,"6'4""",6,4,193.04,90,0,0,YES
Sam Rick,ST (C),,-,ENG,NONE,7,28/05/2007,5878,193,16,Birkenhead,,ENG,UK & Ireland,ENG,,"5'9""",5,9,175.26,61,0,0,NO
Cyprian Mtenga,M (C),Burton,English Football League 1,ENG,ENG3,4,28/05/2007,5878,193,16,-,,ENG,UK & Ireland,ENG,,"5'3""",5,3,160.02,50,0,0,YES
Jack Sexton,GK,Colchester,English Football League 2,ENG,ENG4,5,28/05/2007,5878,193,16,-,,ENG,UK & Ireland,ENG,,"6'3""",6,3,190.5,74,0,0,NO
Joe Morris,DM,Shrewsbury,English Football League 1,ENG,ENG3,4,27/05/2007,5879,193,16,-,,ENG,UK & Ireland,ENG,,"5'9""",5,9,175.26,64,0,0,YES
Sean Neave,ST (C),Newcastle,English Premier Division,ENG,ENG1,1,27/05/2007,5879,193,16,Newcastle,,ENG,UK & Ireland,ENG,,"5'9""",5,9,175.26,61,0,0,YES
Max Lott,M (C),Aston Villa,English Premier Division,ENG,ENG1,1,27/05/2007,5879,193,16,-,,ENG,UK & Ireland,ENG,,"5'7""",5,7,170.18,58,0,0,YES
Leighton Fawcett,AM (L),,-,ENG,NONE,7,27/05/2007,5879,193,16,Salford,,ENG,UK & Ireland,ENG,NIR,"5'9""",5,9,175.26,60,0,0,NO
Caiden Remy-Dee,ST (C),Sheffield Wednesday,English Football League Championship,ENG,ENG2,3,26/05/2007,5880,193,16,-,,ENG,UK & Ireland,ENG,,"5'9""",5,9,175.26,63,0,0,YES
Dean Forbes,D (C),Millwall,English Football League Championship,ENG,ENG2,3,25/05/2007,5881,193,16,-,,ENG,UK & Ireland,ENG,,"6'2""",6,2,187.96,73,0,0,YES
Josh Rayfield,"DM, M (C)",Northampton,English Football League 1,ENG,ENG3,4,25/05/2007,5881,193,16,Northampton,,ENG,UK & Ireland,ENG,,"5'7""",5,7,170.18,59,0,0,YES
Josh Pitts,ST (C),Southampton,English Football League Championship,ENG,ENG2,3,25/05/2007,5881,193,16,-,,ENG,UK & Ireland,ENG,,"5'11""",5,11,180.34,63,0,0,YES
Daniel Collin-Kolawole,AM (RL),Northampton,English Football League 1,ENG,ENG3,4,24/05/2007,5882,193,16,-,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,68,0,0,YES
Eden Matondo,D (C),,-,ENG,NONE,7,24/05/2007,5882,193,16,Mansfield,,ENG,UK & Ireland,ENG,COD,"5'10""",5,10,177.8,69,0,0,NO
Joe Sowerby,"D (LC), WB (L)",Morecambe,English Football League 2,ENG,ENG4,5,24/05/2007,5882,193,16,Lancaster,,ENG,UK & Ireland,ENG,,"6'3""",6,3,190.5,74,0,0,NO
Zak Averns,GK,Rotherham,English Football League Championship,ENG,ENG2,3,24/05/2007,5882,193,16,-,,ENG,UK & Ireland,ENG,,"6'2""",6,2,187.96,68,0,0,YES
Mike Sinclair,M (R),,-,ENG,NONE,7,24/05/2007,5882,193,16,Bolton,,ENG,UK & Ireland,ENG,NIR,"6'2""",6,2,187.96,74,0,0,NO
Finley Fletcher,AM (C),Grimsby,English Football League 2,ENG,ENG4,5,23/05/2007,5883,193,16,-,,ENG,UK & Ireland,ENG,,"5'7""",5,7,170.18,58,0,0,NO
Dani Gonzalez-Birchall,"DM, M (C)",Swindon,English Football League 2,ENG,ENG4,5,23/05/2007,5883,193,16,-,,ENG,UK & Ireland,ENG,,"5'9""",5,9,175.26,62,0,0,NO
George Birch,AM (C),Exeter,English Football League 1,ENG,ENG3,4,22/05/2007,5884,193,16,-,,ENG,UK & Ireland,ENG,,"5'4""",5,4,162.56,50,0,0,YES
Harry Elmore,"DM, M (C)",Fleetwood,English Football League 1,ENG,ENG3,4,22/05/2007,5884,193,16,-,,ENG,UK & Ireland,ENG,,"5'6""",5,6,167.64,56,0,0,YES
James Robertson,M (L),,-,ENG,NONE,7,22/05/2007,5884,193,16,Huddersfield,,ENG,UK & Ireland,ENG,SCO,"5'3""",5,3,160.02,50,0,0,NO
Joe Billett,M (R),Leeds,English Football League Championship,ENG,ENG2,3,22/05/2007,5884,193,16,-,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,65,0,0,YES
Tyler Harrad,M/AM (L),Mansfield,English Football League 2,ENG,ENG4,5,21/05/2007,5885,193,16,-,,ENG,UK & Ireland,ENG,,"6'4""",6,4,193.04,76,0,0,NO
Connor Harris,M (C),AFC Wimbledon,English Football League 2,ENG,ENG4,5,21/05/2007,5885,193,16,-,,ENG,UK & Ireland,ENG,,"6'2""",6,2,187.96,69,0,0,NO
Joel Sullivan,ST (C),Plymouth,English Football League Championship,ENG,ENG2,3,21/05/2007,5885,193,16,Plymouth,,ENG,UK & Ireland,ENG,,"5'7""",5,7,170.18,55,0,0,YES
Luke Morley,GK,,-,ENG,NONE,7,19/05/2007,5887,193,16,Carlisle,,ENG,UK & Ireland,ENG,,"5'11""",5,11,180.34,66,0,0,NO
Hassan Hamid,M (C),QPR,English Football League Championship,ENG,ENG2,3,19/05/2007,5887,193,16,-,,ENG,UK & Ireland,ENG,PAK,"5'10""",5,10,177.8,63,0,0,YES
Boriss Hvoiņickis,GK,,-,ENG,NONE,7,18/05/2007,5888,193,16,Dagenham,,ENG,UK & Ireland,ENG,LVA,"6'1""",6,1,185.42,69,0,0,NO
Ty Ewens-Findlay,D (C),Cambridge,English Football League 1,ENG,ENG3,4,18/05/2007,5888,193,16,-,,ENG,UK & Ireland,ENG,,"6'2""",6,2,187.96,72,0,0,YES
Michael Schofield,D (C),,-,ENG,NONE,7,18/05/2007,5888,193,16,Sale,,ENG,UK & Ireland,ENG,,"6'2""",6,2,187.96,72,0,0,NO
Dan Small,AM (RL),,-,ENG,NONE,7,18/05/2007,5888,193,16,Shepton Mallet,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,65,0,0,NO
Zac Hibbard,D (C),Rotherham,English Football League Championship,ENG,ENG2,3,17/05/2007,5889,193,16,-,,ENG,UK & Ireland,ENG,,"6'0""",6,0,182.88,68,0,0,YES
Lucas Barnes,D (R),Harrogate,English Football League 2,ENG,ENG4,5,17/05/2007,5889,193,16,-,,ENG,UK & Ireland,ENG,,"5'11""",5,11,180.34,65,0,0,NO
Dan Hopper,M (C),Carlisle,English Football League 1,ENG,ENG3,4,17/05/2007,5889,193,16,-,,ENG,UK & Ireland,ENG,,"6'2""",6,2,187.96,68,0,0,YES
Freddie Norman,GK,Leyton Orient,English Football League 1,ENG,ENG3,4,17/05/2007,5889,193,16,-,,ENG,UK & Ireland,ENG,,"6'4""",6,4,193.04,72,0,0,YES
