name,position_x,group_x,date_of_birth,birth_month_x,birth_quarter_x,appearances_pred,goals_pred,tier_pred,position_y,group_y,club,division,based_in,division_tier,tier_quality,birth_month_y,birth_quarter_y,age_(days)_on_1_july_2023,age_(months)_on_1_july_2023,age_(years)_on_1_july_2023,birth_city,nation_of_birth,birth_region,nationality,second_nationality,height_(cm),weight_(kg),goals,appearances,is_top_4_tier,appearances_difference,goals_difference,tier_difference
Trevoh Chalobah,"D (RC), WB (R), DM",Defender,05/07/1999,7,4,12,2,1.0,"D (C), DM",Defender,Chelsea,English Premier Division,ENG,ENG1,1,7,4,8762,287,23,Freetown,SLE,Western Africa,ENG,SLE,193.0,85,8,153,YES,-141,-6,0.0
Joy Mukena,D (C),Defender,03/07/1999,7,4,9,1,1.0,D (C),Defender,Crawley,English Football League 2,ENG,ENG4,5,7,4,8764,287,24,London,ENG,UK & Ireland,ENG,BEL,188.0,70,1,80,NO,-71,0,-4.0
Thomas Sang,"D (R), M (C)",Defender,29/06/1999,6,4,9,1,1.0,WB (R),Defender,Port Vale,English Football League 1,ENG,ENG3,4,6,4,8768,288,24,Liverpool,ENG,UK & Ireland,ENG,,185.4,81,0,40,YES,-31,1,-3.0
Kenton Richardson,M/AM (R),Midfielder,26/06/1999,6,4,9,2,4.0,D (C),Defender,Gateshead,English National League,ENG,ENG5,6,6,4,8771,288,24,,ENG,UK & Ireland,ENG,,185.4,70,1,102,NO,-93,1,-2.0
Tom Grivosti,D (C),Defender,15/06/1999,6,4,8,1,4.0,D (C),Defender,St. Pat's Athletic,Irish Premier Division,IRL,IRL1,6,6,4,8782,288,24,Liverpool,ENG,UK & Ireland,ENG,,182.9,78,3,78,NO,-70,-2,-2.0
Joe Rowley,M (C),Midfielder,03/06/1999,6,4,8,2,4.0,AM (C),Forward,AFC Fylde,English National League,ENG,ENG5,6,6,4,8794,288,24,Sheffield,ENG,UK & Ireland,ENG,,154.9,70,11,144,NO,-136,-9,-2.0
Eddie Nketiah,ST (C),Forward,30/05/1999,5,3,12,3,1.0,ST (C),Forward,Arsenal,English Premier Division,ENG,ENG1,1,5,3,8798,289,24,London,ENG,UK & Ireland,ENG,GHA,175.3,70,17,106,YES,-94,-14,0.0
Toby Sibbick,D (C),Defender,23/05/1999,5,3,9,2,4.0,D (C),Defender,Hearts,Scottish Premiership,SCO,SCO1,3,5,3,8805,289,24,Hounslow,ENG,UK & Ireland,ENG,UGA,188.0,77,1,125,YES,-116,1,1.0
Josh Tymon,D/WB (L),Defender,22/05/1999,5,3,9,2,4.0,D (L),Defender,Swansea,English Football League Championship,ENG,ENG2,3,5,3,8806,289,24,Hull,ENG,UK & Ireland,ENG,,152.4,72,2,125,YES,-116,0,1.0
Niall Ennis,ST (C),Forward,20/05/1999,5,3,9,2,4.0,ST (C),Forward,Stoke,English Football League Championship,ENG,ENG2,3,5,3,8808,289,24,Wolverhampton,ENG,UK & Ireland,ENG,JAM,154.9,76,28,137,YES,-128,-26,1.0
Samuel Shashoua,M/AM (C),Midfielder,13/05/1999,5,3,9,2,1.0,AM (LC),Forward,Albacete,Spanish Second Division,ESP,ESP2,3,5,3,8815,289,24,London,ENG,UK & Ireland,ENG,USA,175.3,70,16,112,YES,-103,-14,-2.0
Charlie Lakin,M (L),Midfielder,08/05/1999,5,3,9,2,4.0,M (C),Midfielder,Sutton,English Football League 2,ENG,ENG4,5,5,3,8820,289,24,Solihull,ENG,UK & Ireland,ENG,,154.9,79,6,88,NO,-79,-4,-1.0
Andre Dozzell,M (C),Midfielder,02/05/1999,5,3,9,1,4.0,"DM, M (C)",Midfielder,Birmingham,English Football League Championship,ENG,ENG2,3,5,3,8826,289,24,Ipswich,ENG,UK & Ireland,ENG,,154.9,63,2,144,YES,-135,-1,1.0
George Nurse,WB/M/AM (L),Defender,30/04/1999,4,3,8,2,4.0,D/WB (L),Defender,Shrewsbury,English Football League 1,ENG,ENG3,4,4,3,8828,290,24,Bristol,ENG,UK & Ireland,ENG,,172.7,71,4,122,YES,-114,-2,0.0
Harvey Knibbs,ST (C),Forward,26/04/1999,4,3,13,2,1.0,AM (C),Forward,Reading,English Football League 1,ENG,ENG3,4,4,3,8832,290,24,Derby,ENG,UK & Ireland,ENG,JAM,188.0,81,18,120,YES,-107,-16,-3.0
James Morton,M (LC),Midfielder,22/04/1999,4,3,8,2,4.0,"DM, M (C)",Midfielder,Southend,English National League,ENG,ENG5,6,4,3,8836,290,24,Bristol,ENG,UK & Ireland,ENG,,152.4,77,7,126,NO,-118,-5,-2.0
Ben Wiles,M (C),Midfielder,17/04/1999,4,3,10,2,4.0,M/AM (C),Midfielder,Huddersfield,English Football League Championship,ENG,ENG2,3,4,3,8841,290,24,Rotherham,ENG,UK & Ireland,ENG,SCO,175.3,66,15,181,YES,-171,-13,1.0
Miles Fenton,M (C),Midfielder,10/04/1999,4,3,8,1,4.0,M (C),Midfielder,,,ENG,NONE,7,4,3,8848,290,24,Manchester,ENG,UK & Ireland,ENG,,154.9,73,8,86,NO,-78,-7,-3.0
Theo Widdrington,M (C),Midfielder,06/04/1999,4,3,9,1,4.0,"DM, M (C)",Midfielder,Aldershot,English National League,ENG,ENG5,6,4,3,8852,290,24,Southampton,ENG,UK & Ireland,ENG,,152.4,76,13,114,NO,-105,-12,-2.0
Tom Bayliss,M (C),Midfielder,06/04/1999,4,3,8,1,4.0,M/AM (C),Midfielder,Shrewsbury,English Football League 1,ENG,ENG3,4,4,3,8852,290,24,Leicester,ENG,UK & Ireland,ENG,,188.0,73,15,118,YES,-110,-14,0.0
Japhet Tanganga,D (C),Defender,31/03/1999,3,3,14,4,1.0,D (RC),Defender,Millwall,English Football League Championship,ENG,ENG2,3,3,3,8858,291,24,London,ENG,UK & Ireland,ENG,COD,182.9,73,0,27,YES,-13,4,-2.0
Ross Sykes,D (C),Defender,26/03/1999,3,3,9,2,4.0,D (C),Defender,Union SG,Belgian Pro League,BEL,BEL1,3,3,3,8863,291,24,Burnley,ENG,UK & Ireland,ENG,,195.6,73,10,127,YES,-118,-8,1.0
Joe Grayson,M (C),Midfielder,26/03/1999,3,3,8,2,4.0,D (C),Defender,Gateshead,English National League,ENG,ENG5,6,3,3,8863,291,24,,ENG,UK & Ireland,ENG,,152.4,66,4,51,NO,-43,-2,-2.0
Marcus Tavernier,"D/WB (R), M (C)",Defender,22/03/1999,3,3,9,1,4.0,"M (L), AM (RLC)",Midfielder,Bournemouth,English Premier Division,ENG,ENG1,1,3,3,8867,291,24,Leeds,ENG,UK & Ireland,ENG,,152.4,73,20,165,YES,-156,-19,3.0
Jack Lambert,M (C),Midfielder,19/03/1999,3,3,9,2,4.0,"M (L), AM (LC)",Midfielder,Kidderminster,English National League,ENG,ENG5,6,3,3,8870,291,24,Newcastle,ENG,UK & Ireland,ENG,,172.7,69,21,90,NO,-81,-19,-2.0
Keanan Bennetts,AM (RL),Forward,09/03/1999,3,3,14,4,1.0,WB/M/AM (L),Defender,SV Wehen Wiesbaden,Bundesliga 2,GER,GER2,3,3,3,8880,291,24,London,ENG,UK & Ireland,ENG,GER,152.4,84,2,79,YES,-65,2,-2.0
Josh Bowler,M (L),Midfielder,05/03/1999,3,3,10,2,4.0,AM (R),Forward,Cardiff,English Football League Championship,ENG,ENG2,3,3,3,8884,291,24,Chertsey,ENG,UK & Ireland,ENG,,175.3,69,12,100,YES,-90,-10,1.0
Toby Edser,M (C),Midfielder,28/02/1999,2,2,9,2,4.0,M/AM (C),Midfielder,Ebbsfleet,English National League,ENG,ENG5,6,2,2,8889,292,24,Guildford,ENG,UK & Ireland,ENG,,167.6,65,20,127,NO,-118,-18,-2.0
Josh Lundstram,M (C),Midfielder,19/02/1999,2,2,9,1,4.0,M (C),Midfielder,Oldham,English National League,ENG,ENG5,6,2,2,8898,292,24,StokeNaNonNaNTrent,ENG,UK & Ireland,ENG,,175.3,71,8,125,NO,-116,-7,-2.0
George Hirst,ST (C),Forward,15/02/1999,2,2,10,2,4.0,ST (C),Forward,Ipswich,English Football League Championship,ENG,ENG2,3,2,2,8902,292,24,Sheffield,ENG,UK & Ireland,ENG,,190.5,81,22,126,YES,-116,-20,1.0
Callum Slattery,M (C),Midfielder,08/02/1999,2,2,11,2,1.0,M/AM (C),Midfielder,Motherwell,Scottish Premiership,SCO,SCO1,3,2,2,8909,292,24,Kidlington,ENG,UK & Ireland,ENG,,154.9,80,7,75,YES,-64,-5,-2.0
Morgan Feeney,D (C),Defender,08/02/1999,2,2,9,1,1.0,D (C),Defender,Shrewsbury,English Football League 1,ENG,ENG3,4,2,2,8909,292,24,Bootle,ENG,UK & Ireland,ENG,,190.5,77,4,67,YES,-58,-3,-3.0
Ryan Clampin,AM (L),Forward,29/01/1999,1,2,9,3,4.0,D/WB (L),Defender,Eastleigh,English National League,ENG,ENG5,6,1,2,8919,293,24,Colchester,ENG,UK & Ireland,ENG,,154.9,70,10,91,NO,-82,-7,-2.0
Josh Hawkes,AM (C),Forward,28/01/1999,1,2,9,4,4.0,AM (RL),Forward,Tranmere,English Football League 2,ENG,ENG4,5,1,2,8920,293,24,StocktonNaNonNaNTees,ENG,UK & Ireland,ENG,,152.4,67,30,144,NO,-135,-26,-1.0
Jaden Brown,D (LC),Defender,24/01/1999,1,2,11,3,1.0,D/WB (L),Defender,St Mirren,Scottish Premiership,SCO,SCO1,3,1,2,8924,293,24,London,ENG,UK & Ireland,ENG,JAM,175.3,77,1,48,YES,-37,2,-2.0
Owen Bailey,M (C),Midfielder,22/01/1999,1,2,10,4,1.0,"D (C), DM, M (C)",Defender,Doncaster,English Football League 2,ENG,ENG4,5,1,2,8926,293,24,Newcastle,ENG,UK & Ireland,ENG,,182.9,77,10,74,NO,-64,-6,-4.0
Luke McCormick,M (C),Midfielder,21/01/1999,1,2,13,4,1.0,"DM, M/AM (C)",Midfielder,Bristol Rovers,English Football League 1,ENG,ENG3,4,1,2,8927,293,24,Bury St. Edmunds,ENG,UK & Ireland,ENG,SCO,175.3,74,13,106,YES,-93,-9,-3.0
Jack Earing,M (C),Midfielder,21/01/1999,1,2,9,4,4.0,M/AM (C),Midfielder,Walsall,English Football League 2,ENG,ENG4,5,1,2,8927,293,24,Bury,ENG,UK & Ireland,ENG,,182.9,77,13,111,NO,-102,-9,-1.0
Flynn Downes,M (C),Midfielder,20/01/1999,1,2,10,4,4.0,"DM, M (C)",Midfielder,Southampton,English Football League Championship,ENG,ENG2,3,1,2,8928,293,24,Brentwood,ENG,UK & Ireland,ENG,,182.9,79,4,159,YES,-149,0,1.0
Mason Mount,M (C),Midfielder,10/01/1999,1,2,9,4,1.0,"M (C), AM (RLC)",Midfielder,Manchester United,English Premier Division,ENG,ENG1,1,1,2,8938,293,24,Portsmouth,ENG,UK & Ireland,ENG,,154.9,73,43,193,YES,-184,-39,0.0
Darren Oldaker,"DM, M (C)",Midfielder,04/01/1999,1,2,9,4,4.0,"DM, M (C)",Midfielder,Chesterfield,English National League,ENG,ENG5,6,1,2,8944,293,24,London,ENG,UK & Ireland,ENG,,175.3,78,13,126,NO,-117,-9,-2.0
Max Sanders,M/AM (C),Midfielder,04/01/1999,1,2,9,4,4.0,M (C),Midfielder,Leyton Orient,English Football League 1,ENG,ENG3,4,1,2,8944,293,24,Horsham,ENG,UK & Ireland,ENG,,175.3,66,2,77,YES,-68,2,0.0
Tolaji Bola,D (LC),Defender,04/01/1999,1,2,9,4,1.0,D (L),Defender,Burton,English Football League 1,ENG,ENG3,4,1,2,8944,293,24,London,ENG,UK & Ireland,ENG,NGA,188.0,78,0,21,YES,-12,4,-3.0
Dennis Adeniran,M/AM (C),Midfielder,02/01/1999,1,2,14,4,4.0,"DM, M (C)",Midfielder,Hapoel Petach-Tikva,Israeli Premier League,ISR,ISR1,6,1,2,8946,293,24,London,ENG,UK & Ireland,ENG,NGA,154.9,75,5,63,NO,-49,-1,-2.0
Ben Chapman,DM,Midfielder,31/12/1998,12,2,8,2,4.0,M (C),Midfielder,Ebbsfleet,English National League,ENG,ENG5,6,12,2,8948,294,24,Aylesbury,ENG,UK & Ireland,ENG,,175.3,69,6,119,NO,-111,-4,-2.0
Tristan Abrahams,ST (C),Forward,29/12/1998,12,2,8,2,4.0,ST (C),Forward,Welling,English National League South,ENG,ENG6,6,12,2,8950,294,24,London,ENG,UK & Ireland,ENG,,185.4,67,24,191,NO,-183,-22,-2.0
Harry Pickering,M (C),Midfielder,29/12/1998,12,2,8,2,4.0,D (L),Defender,Blackburn,English Football League Championship,ENG,ENG2,3,12,2,8950,294,24,Chester,ENG,UK & Ireland,ENG,,185.4,79,12,219,YES,-211,-10,1.0
Jacob Davenport,"DM, M (C)",Midfielder,28/12/1998,12,2,8,2,1.0,"DM, M (C)",Midfielder,Morecambe,English Football League 2,ENG,ENG4,5,12,2,8951,294,24,Manchester,ENG,UK & Ireland,ENG,,152.4,72,2,58,NO,-50,0,-4.0
Tyler Magloire,D (C),Defender,21/12/1998,12,2,8,2,4.0,D (C),Defender,Northampton,English Football League 1,ENG,ENG3,4,12,2,8958,294,24,Bradford,ENG,UK & Ireland,ENG,,182.9,70,3,55,YES,-47,-1,0.0
Reece Oxford,"D (C), DM",Defender,16/12/1998,12,2,10,2,1.0,D (C),Defender,Augsburg,Bundesliga,GER,GER1,1,12,2,8963,294,24,London,ENG,UK & Ireland,ENG,JAM,193.0,86,2,98,YES,-88,0,0.0
Harvey Gilmour,M (C),Midfielder,15/12/1998,12,2,9,2,4.0,M (C),Midfielder,Rochdale,English National League,ENG,ENG5,6,12,2,8964,294,24,Sheffield,ENG,UK & Ireland,ENG,,154.9,73,5,104,NO,-95,-3,-2.0
Mallik Wilks,ST (C),Forward,15/12/1998,12,2,8,2,4.0,AM (RL),Forward,Sheffield Wednesday,English Football League Championship,ENG,ENG2,3,12,2,8964,294,24,Leeds,ENG,UK & Ireland,ENG,,182.9,80,46,185,YES,-177,-44,1.0
Yan Dhanda,AM (C),Forward,14/12/1998,12,2,13,3,1.0,AM (C),Forward,Ross County,Scottish Premiership,SCO,SCO1,3,12,2,8965,294,24,Birmingham,ENG,UK & Ireland,ENG,IND,172.7,68,10,80,YES,-67,-7,-2.0
Kyle Finn,M/AM (RL),Midfielder,07/12/1998,12,2,8,2,4.0,"M (R), AM (RLC)",Midfielder,Tamworth,English National League North,ENG,ENG6,6,12,2,8972,294,24,Leamington Spa,ENG,UK & Ireland,ENG,,152.4,67,28,142,NO,-134,-26,-2.0
Cedwyn Scott,ST (C),Forward,06/12/1998,12,2,9,2,4.0,"AM (L), ST (C)",Forward,Notts Co,English Football League 2,ENG,ENG4,5,12,2,8973,294,24,Hexham,ENG,UK & Ireland,ENG,,182.9,75,63,128,NO,-119,-61,-1.0
Tyler Smith,M/AM (R),Midfielder,04/12/1998,12,2,9,2,4.0,ST (C),Forward,Bradford City,English Football League 2,ENG,ENG4,5,12,2,8975,294,24,Sheffield,ENG,UK & Ireland,ENG,,152.4,70,27,129,NO,-120,-25,-1.0
Marcus Edwards,AM (RLC),Forward,03/12/1998,12,2,13,4,1.0,AM (RL),Forward,Sporting CP,Portuguese Premier League,POR,POR1,2,12,2,8976,294,24,London,ENG,UK & Ireland,ENG,CYP,167.6,65,29,148,YES,-135,-25,-1.0
Charlie Fox,D (C),Defender,26/11/1998,11,1,10,2,4.0,D (C),Defender,Queen's Park,Scottish Championship,SCO,SCO2,6,11,1,8983,295,24,London,ENG,UK & Ireland,ENG,,188.0,77,9,99,NO,-89,-7,-2.0
Herbie Kane,M (C),Midfielder,23/11/1998,11,1,8,2,1.0,"DM, M (C)",Midfielder,Barnsley,English Football League 1,ENG,ENG3,4,11,1,8986,295,24,Bristol,ENG,UK & Ireland,ENG,,152.4,75,9,144,YES,-136,-7,-3.0
Tunji Akinola,D (C),Defender,21/11/1998,11,1,13,2,1.0,"D (C), DM",Defender,Woking,English National League,ENG,ENG5,6,11,1,8988,295,24,,ENG,UK & Ireland,ENG,NGA,188.0,78,0,67,NO,-54,2,-5.0
Benny Ashley-Seal,"AM (RLC), ST (C)",Forward,21/11/1998,11,1,8,2,1.0,ST (C),Forward,,,ENG,NONE,7,11,1,8988,295,24,London,ENG,UK & Ireland,ENG,,188.0,90,4,57,NO,-49,-2,-6.0
Sam Stubbs,D (C),Defender,20/11/1998,11,1,10,2,4.0,D (C),Defender,Bradford City,English Football League 2,ENG,ENG4,5,11,1,8989,295,24,Liverpool,ENG,UK & Ireland,ENG,,182.9,64,4,103,NO,-93,-2,-1.0
Kazaiah Sterling,"AM (RL), ST (C)",Forward,09/11/1998,11,1,9,2,1.0,ST (C),Forward,,,ENG,NONE,7,11,1,9000,295,24,London,ENG,UK & Ireland,ENG,JAM,175.3,70,27,75,NO,-66,-25,-6.0
Josh Koroma,AM (L),Forward,09/11/1998,11,1,8,2,4.0,"AM (L), ST (C)",Forward,Huddersfield,English Football League Championship,ENG,ENG2,3,11,1,9000,295,24,London,ENG,UK & Ireland,ENG,SLE,152.4,71,36,195,YES,-187,-34,1.0
Akin Famewo,M (C),Midfielder,09/11/1998,11,1,9,2,4.0,D (C),Defender,Sheffield Wednesday,English Football League Championship,ENG,ENG2,3,11,1,9000,295,24,London,ENG,UK & Ireland,ENG,NGA,188.0,85,2,101,YES,-92,0,1.0
George Marsh,M (C),Midfielder,05/11/1998,11,1,9,2,1.0,"DM, M (C)",Midfielder,AEL,Cypriot First Division,CYP,CYP1,6,11,1,9004,295,24,,ENG,UK & Ireland,ENG,,154.9,77,0,78,NO,-69,2,-5.0
Jacob Maddox,M/AM (C),Midfielder,03/11/1998,11,1,8,2,1.0,M/AM (C),Midfielder,Forest Green,English Football League 2,ENG,ENG4,5,11,1,9006,295,24,Bristol,ENG,UK & Ireland,ENG,,152.4,70,2,85,NO,-77,0,-4.0
Owen Dale,ST (C),Forward,01/11/1998,11,1,9,3,4.0,AM (RL),Forward,Oxford United,English Football League 1,ENG,ENG3,4,11,1,9008,296,24,Warrington,ENG,UK & Ireland,ENG,,175.3,64,26,206,YES,-197,-23,0.0
Joe Powell,M/AM (C),Midfielder,30/10/1998,10,1,9,2,1.0,"DM, M (C)",Midfielder,Burton,English Football League 1,ENG,ENG3,4,10,1,9010,296,24,,ENG,UK & Ireland,ENG,,152.4,70,16,129,YES,-120,-14,-3.0
Kieran Hall,M/AM (L),Midfielder,26/10/1998,10,1,8,2,4.0,ST (C),Forward,,,SCO,NONE,7,10,1,9014,296,24,ChesterNaNleNaNStreet,ENG,UK & Ireland,ENG,,182.9,90,14,75,NO,-67,-12,-3.0
Josh Earl,D (L),Defender,24/10/1998,10,1,10,2,4.0,D (LC),Defender,Barnsley,English Football League 1,ENG,ENG3,4,10,1,9016,296,24,Southport,ENG,UK & Ireland,ENG,,190.5,86,4,158,YES,-148,-2,0.0
Josh Dasilva,ST (C),Forward,23/10/1998,10,1,8,2,1.0,M (C),Midfielder,Brentford,English Premier Division,ENG,ENG1,1,10,1,9017,296,24,Ilford,ENG,UK & Ireland,ENG,ANG,182.9,71,20,134,YES,-126,-18,0.0
Luke Woolfenden,D (C),Defender,21/10/1998,10,1,9,2,4.0,D (C),Defender,Ipswich,English Football League Championship,ENG,ENG2,3,10,1,9019,296,24,Ipswich,ENG,UK & Ireland,ENG,,190.5,80,7,182,YES,-173,-5,1.0
Christian N'Guessan,M (C),Midfielder,20/10/1998,10,1,8,2,4.0,M (C),Midfielder,Sutton,English Football League 2,ENG,ENG4,5,10,1,9020,296,24,London,ENG,UK & Ireland,ENG,CIV,185.4,79,0,74,NO,-66,2,-1.0
Will Patching,M/AM (C),Midfielder,18/10/1998,10,1,8,2,1.0,M/AM (C),Midfielder,Derry City,Irish Premier Division,IRL,IRL1,6,10,1,9022,296,24,Stockport,ENG,UK & Ireland,ENG,,185.4,70,23,108,NO,-100,-21,-5.0
Jerome Opoku,D (LC),Defender,14/10/1998,10,1,12,2,4.0,D (C),Defender,Başakşehir FK,Turkish Super League,TUR,TUR1,3,10,1,9026,296,24,London,ENG,UK & Ireland,ENG,GHA,198.1,86,1,98,YES,-86,1,1.0
Demeaco Duhaney,D (R),Defender,13/10/1998,10,1,9,2,1.0,D (R),Defender,İstanbulspor,Turkish Super League,TUR,TUR1,3,10,1,9027,296,24,Manchester,ENG,UK & Ireland,ENG,,154.9,70,1,48,YES,-39,1,-2.0
Josh Grant,D (RC),Defender,11/10/1998,10,1,12,2,1.0,D (C),Defender,Bristol Rovers,English Football League 1,ENG,ENG3,4,10,1,9029,296,24,London,ENG,UK & Ireland,ENG,JAM,182.9,80,5,85,YES,-73,-3,-3.0
Tyreeq Bakinson,M (C),Midfielder,10/10/1998,10,1,9,2,4.0,M (C),Midfielder,Charlton,English Football League 1,ENG,ENG3,4,10,1,9030,296,24,London,ENG,UK & Ireland,ENG,,190.5,84,11,135,YES,-126,-9,0.0
Lewis Baines,D (C),Defender,10/10/1998,10,1,9,2,4.0,D (C),Defender,Altrincham,English National League,ENG,ENG5,6,10,1,9030,296,24,Brighton,ENG,UK & Ireland,ENG,,182.9,73,2,135,NO,-126,0,-2.0
George Dowling,M (C),Midfielder,08/10/1998,10,1,8,2,4.0,M (C),Midfielder,,,ENG,NONE,7,10,1,9032,296,24,Bristol,ENG,UK & Ireland,ENG,,175.3,69,3,92,NO,-84,-1,-3.0
Trent Alexander-Arnold,"D (R), DM, M (C)",Defender,07/10/1998,10,1,9,2,1.0,"D/WB (R), DM, M (C)",Defender,Liverpool,English Premier Division,ENG,ENG1,1,10,1,9033,296,24,Liverpool,ENG,UK & Ireland,ENG,,154.9,70,12,198,YES,-189,-10,0.0
Archie Davies,M (C),Midfielder,07/10/1998,10,1,8,2,4.0,D/WB (R),Defender,Dundalk,Irish Premier Division,IRL,IRL1,6,10,1,9033,296,24,Hastings,ENG,UK & Ireland,ENG,,182.9,75,0,144,NO,-136,2,-2.0
Alex Webb,D (RC),Defender,06/10/1998,10,1,8,1,4.0,D/WB (R),Defender,Linlithgow Rose,Scottish Lowland Football League,SCO,SCO5,6,10,1,9034,296,24,Lancaster,ENG,UK & Ireland,ENG,,154.9,71,0,20,NO,-12,1,-2.0
Jordi Osei-Tutu,D (R),Defender,02/10/1998,10,1,13,3,1.0,D/WB (R),Defender,PAS Giannina,Greek Super League 1,GRE,GRE1,3,10,1,9038,296,24,Slough,ENG,UK & Ireland,ENG,GHA,175.3,70,5,67,YES,-54,-2,-2.0
David Ajiboye,M/AM (RL),Midfielder,28/09/1998,9,1,12,2,4.0,M/AM (R),Midfielder,Peterborough,English Football League 1,ENG,ENG3,4,9,1,9042,297,24,Bromley,ENG,UK & Ireland,ENG,NGA,172.7,67,37,180,YES,-168,-35,0.0
Dan Happe,D (C),Defender,28/09/1998,9,1,9,1,4.0,D (C),Defender,Leyton Orient,English Football League 1,ENG,ENG3,4,9,1,9042,297,24,London,ENG,UK & Ireland,ENG,,195.6,105,5,159,YES,-150,-4,0.0
Jordan Gabriel,D/WB (R),Defender,25/09/1998,9,1,9,1,4.0,D (R),Defender,Blackpool,English Football League 1,ENG,ENG3,4,9,1,9045,297,24,SouthendNaNonNaNSea,ENG,UK & Ireland,ENG,SCO,152.4,74,1,82,YES,-73,0,0.0
Robbie McKenzie,M (C),Midfielder,25/09/1998,9,1,8,2,4.0,"D (RC), DM",Defender,Gillingham,English Football League 2,ENG,ENG4,5,9,1,9045,297,24,Hull,ENG,UK & Ireland,ENG,,154.9,75,4,131,NO,-123,-2,-1.0
Callum Whelan,M (C),Midfielder,24/09/1998,9,1,8,2,1.0,M (C),Midfielder,Gateshead,English National League,ENG,ENG5,6,9,1,9046,297,24,Barnsley,ENG,UK & Ireland,ENG,,175.3,67,1,108,NO,-100,1,-5.0
Antony Evans,AM (C),Forward,23/09/1998,9,1,9,3,1.0,AM (C),Forward,Bristol Rovers,English Football League 1,ENG,ENG3,4,9,1,9047,297,24,Liverpool,ENG,UK & Ireland,ENG,,185.4,78,17,125,YES,-116,-14,-3.0
Sam Woods,D (C),Defender,11/09/1998,9,1,9,2,1.0,D (C),Defender,Bromley,English National League,ENG,ENG5,6,9,1,9059,297,24,Farnborough,ENG,UK & Ireland,ENG,,188.0,80,3,52,NO,-43,-1,-5.0
Aramide Oteh,ST (C),Forward,10/09/1998,9,1,9,2,1.0,"AM (R), ST (C)",Forward,Walsall,English Football League 2,ENG,ENG4,5,9,1,9060,297,24,London,ENG,UK & Ireland,ENG,NGA,175.3,75,18,122,NO,-113,-16,-4.0
Lewis Knight,ST (C),Forward,09/09/1998,9,1,9,2,4.0,"AM (R), ST (C)",Forward,Gateshead,English National League,ENG,ENG5,6,9,1,9061,297,24,Dewsbury,ENG,UK & Ireland,ENG,,154.9,81,25,116,NO,-107,-23,-2.0
